::Date=2023_08_21::Hour=05_00_03 PM:::
::Cilinder Size=490.30::Web Width=1391.21::Printing Width=1290.00::Flat Number=6:::
::Operator Name=Arslan::PDF Name=W5509.pdf:::
::PS=0.197:::
::LP1=35.52:::
::LP2=1352.73:::
::Web Direction=Down::Turning Bar=Straight::Repetition Number=1::Uniform Color Fill=False::Automatic Register=False::Automatic Register Small Mark=False:::
::Spot sensitivity=6::Color sensitivity=10::Blade sensitivity=6::Blade lenght=6::Register sensitivity=8::Missing ink sensitivity=10::Barcode sensitivity=0::Meters=0.000::Lap=0::Speed=233::Hour=05_00_03 PM::DetectionSystem=Lynex:::
::Spot sensitivity=0::Color sensitivity=0::Blade sensitivity=0::Blade lenght=0::Register sensitivity=0::Missing ink sensitivity=0::Barcode sensitivity=0::Meters=0.000::Lap=0::Speed=233::Hour=05_00_03 PM::DetectionSystem=Matrix:::
::Type=Spot::WebEdge=35.52::X=775.39::Y=145.75::Width=32.70::Height=32.70::Size=4.46::Image=Spot7.bmp::Meters=1029.824::Lap=2100::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_11_42 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=795.04::Y=61.52::Width=66.59::Height=66.59::Size=108.07::Image=TOP__PDF_Spot3.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=639.41::Y=61.52::Width=66.59::Height=66.59::Size=123.27::Image=TOP__PDF_Spot2.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=599.44::Y=61.52::Width=66.59::Height=66.59::Size=123.27::Image=TOP__PDF_Spot1.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=835.56::Y=61.52::Width=66.59::Height=66.59::Size=135.09::Image=TOP__PDF_Spot0.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=157.60::Y=156.92::Width=66.59::Height=66.59::Size=55.44::Image=TOP__PDF_Spot9.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=197.84::Y=156.92::Width=66.59::Height=66.59::Size=62.48::Image=TOP__PDF_Spot8.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=157.60::Y=252.05::Width=66.59::Height=66.59::Size=76.83::Image=TOP__PDF_Spot7.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1237.44::Y=156.92::Width=66.59::Height=66.59::Size=92.03::Image=TOP__PDF_Spot6.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1037.06::Y=156.92::Width=66.59::Height=66.59::Size=94.28::Image=TOP__PDF_Spot5.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=995.69::Y=156.92::Width=66.59::Height=66.59::Size=94.28::Image=TOP__PDF_Spot4.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=276.36::Y=156.92::Width=66.59::Height=66.59::Size=9.29::Image=TOP__PDF_Spot16.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=238.37::Y=455.35::Width=66.59::Height=66.59::Size=9.85::Image=TOP__PDF_Spot15.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=599.44::Y=252.05::Width=66.59::Height=66.59::Size=10.13::Image=TOP__PDF_Spot14.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=639.41::Y=455.35::Width=66.59::Height=66.59::Size=11.82::Image=TOP__PDF_Spot13.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=995.98::Y=61.80::Width=66.59::Height=66.59::Size=13.51::Image=TOP__PDF_Spot12.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1197.20::Y=455.63::Width=66.59::Height=66.59::Size=24.77::Image=TOP__PDF_Spot11.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1078.15::Y=61.80::Width=66.59::Height=66.59::Size=39.96::Image=TOP__PDF_Spot10.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1118.68::Y=455.63::Width=66.59::Height=66.59::Size=7.04::Image=TOP__PDF_Spot17.bmp::Meters=963.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_11_43 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1094.53::Y=65.60::Width=59.49::Height=59.49::Size=51.61::Image=TOP__PDF_Spot18.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1065.57::Y=65.60::Width=59.49::Height=59.49::Size=43.14::Image=TOP__PDF_Spot19.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1123.49::Y=197.20::Width=59.49::Height=59.49::Size=5.91::Image=TOP__PDF_Spot28.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
